Q_name,split,fold
coronavirus immunity,train,1
coronavirus mutations,train,1
coronavirus hospital rationing,train,1
coronavirus diabetes,train,1
coronavirus early symptoms,train,1
difference between coronavirus and flu,train,1
coronavirus vaccine candidates,train,1
coronavirus recovery,train,1
coronavirus public datasets,train,1
coronavirus mortality,train,1
coronavirus hypertension,train,1
coronavirus subtypes,train,1
SARS-CoV-2 phylogenetic analysis,train,1
SARS-CoV-2 spike structure,train,1
coronavirus under reporting,train,1
how long does coronavirus survive on surfaces,train,1
coronavirus in Canada,train,1
COVID-19 in African-Americans,train,1
COVID-19 outcomes in children,train,1
serological tests for coronavirus,train,1
coronavirus asymptomatic,train,1
coronavirus quarantine,train,1
coronavirus biomarkers,train,1
dexamethasone coronavirus,train,1
coronavirus clinical trials,train,1
how does coronavirus spread,train,1
impact of masks on coronavirus transmission,train,1
coronavirus outside body,train,1
coronavirus drug repurposing,train,1
coronavirus heart impacts,train,1
coronavirus mental health impact,train,1
what alcohol sanitizer kills coronavirus,train,1
coronavirus remdesivir,train,1
violence during pandemic,train,1
coronavirus super spreaders,train,1
coronavirus hydroxychloroquine,train,1
post-infection COVID-19 immunity,train,1
school reopening coronavirus,train,1
coronavirus origin,test,1
coronavirus test rapid testing,test,1
coronavirus social distancing impact,test,1
coronavirus response to weather changes,test,1
animal models of COVID-19,test,1
masks prevent coronavirus,test,1
COVID inflammatory response,test,1
COVID-19 cytokine storm,test,1
how do people die from the coronavirus,test,1
coronavirus and ACE inhibitors,test,1
coronavirus origin,train,2
coronavirus test rapid testing,train,2
coronavirus social distancing impact,train,2
coronavirus response to weather changes,train,2
animal models of COVID-19,train,2
masks prevent coronavirus,train,2
COVID inflammatory response,train,2
COVID-19 cytokine storm,train,2
how do people die from the coronavirus,train,2
coronavirus and ACE inhibitors,train,2
coronavirus hypertension,train,2
coronavirus subtypes,train,2
SARS-CoV-2 phylogenetic analysis,train,2
SARS-CoV-2 spike structure,train,2
coronavirus under reporting,train,2
how long does coronavirus survive on surfaces,train,2
coronavirus in Canada,train,2
COVID-19 in African-Americans,train,2
COVID-19 outcomes in children,train,2
serological tests for coronavirus,train,2
coronavirus asymptomatic,train,2
coronavirus quarantine,train,2
coronavirus biomarkers,train,2
dexamethasone coronavirus,train,2
coronavirus clinical trials,train,2
how does coronavirus spread,train,2
